lab_id,survey_year,Sex,FL_mm,grouped_classification,age,age_f,age_f_rev,simplified_classification,simplified_classification_withputah,section_alpha
PC_2018_1,2018,Female,815,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_16,2018,Female,830,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_21,2018,Female,735,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_29,2018,Female,875,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_35,2018,Female,770,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_41,2018,Male,680,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_42,2018,Male,870,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2018_43,2018,Female,675,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2018_46,2018,Female,810,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_62,2018,Female,705,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_66,2018,Male,820,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_67,2018,Female,655,MEH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_70,2018,Male,735,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_74,2018,Female,450,FRH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2018_81,2018,Female,779,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2018_92,2018,Female,734,MEH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2018_101,2018,Female,755,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_103,2018,Male,875,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_114,2018,Male,740,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_125,2018,Female,710,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_127,2018,Male,935,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_133,2018,Male,935,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2018_145,2018,Female,855,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_148,2018,Male,905,FRH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_162,2018,Male,920,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_164,2018,Female,790,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2018_173,2018,Female,770,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_176,2018,Female,770,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_177,2018,Female,760,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_179,2018,Male,875,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_182,2018,Male,795,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_207,2018,Male,741,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2018_209,2018,Female,740,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_127B,2017,Male,273,MOH,2,2,2,Hatchery-strays,Hatchery-strays,B
PC_2017_132A,2017,Female,730,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_138A,2017,Female,690,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_139A,2017,Male,907,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_140A,2017,Female,609,MOH,,,,Hatchery-strays,Hatchery-strays,A
PC_2017_154A,2017,Male,808,FRH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_155A,2017,Male,610,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_158A,2017,Male,592,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_159A,2017,Male,706,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_162A,2017,Female,746,NIH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_166A,2017,Male,829,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_171A,2017,Male,743,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_172A,2017,Female,613,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_130C,2017,Male,660,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_131C,2017,Male,620,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_174A,2017,Female,810,FRH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_177A,2017,Female,659,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_184A,2017,Female,725,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_187A,2017,Female,790,CNH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_191A,2017,Female,710,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_192A,2017,Female,740,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_195A,2017,Male,619,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_196A,2017,Female,625,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_202A,2017,Female,813,FRH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_129D,2017,Male,915,NIH,3,3,3,Hatchery-strays,Hatchery-strays,D
PC_2017_141C,2017,Female,840,CNH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2017_143C,2017,Unknown,625,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_144C,2017,Female,590,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_151B,2017,Female,743,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2017_152B,2017,Male,820,MOH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2017_232A,2017,Male,811,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_238A,2017,Female,637,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_148C,2017,Female,,CNH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2017_151C,2017,Male,610,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_154B,2017,Female,542,MOH,2,2,2,Hatchery-strays,Hatchery-strays,B
PC_2017_155C,2017,Female,637,MOH,2,2,2,Hatchery-strays,Hatchery-strays,C
PC_2017_157C,2017,Female,767,NIH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2017_159C,2017,Female,744,MOH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2017_250A,2017,Male,835,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_157B,2017,Female,748,NIH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2017_163C,2017,Male,,MOH,3,3,3,Hatchery-strays,Hatchery-strays,C
PC_2017_149B,2017,Female,830,NIH,3,3,3,Hatchery-strays,Hatchery-strays,B
PC_2017_205A,2017,Female,564,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_206A,2017,Male,837,MOH,3,3,3,Hatchery-strays,Hatchery-strays,A
PC_2017_209A,2017,Male,649,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_213A,2017,Male,651,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_214A,2017,Female,600,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
PC_2017_218A,2017,Male,664,MOH,2,2,2,Hatchery-strays,Hatchery-strays,A
